,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
895,2,1.14,0.28,0.0,2.1,5.5712041363231535,8.798652418325362,4.4426321398840525,0.8130875001843274,3.865821517979157,2.0608580331033304,-0.04302568997961912,49.759925542357436,832.9266921125661,0.0012996020025622698,0.0011134793738815096,0.0181,0.0163927903588798,0.8130875001843274
11235,1,1.13,0.28,0.0,2.1,3.819264933463366,4.230876311272211,4.562857433789538,-0.5348652207365672,4.20526427785894,1.3894782708570206,-0.17046453543442908,88.06786175796711,1761.0434724946465,0.0005092819352748302,0.00396652823990068,0.0181,0.012224019652200083,0.5348652207365672
753,1,1.13,0.28,0.0,2.1,3.016568680105624,3.1244476077517467,4.562857433789538,-0.24905507159393908,4.261766846105547,1.3019684952483153,-0.16435329541471144,96.75837550459829,1992.7705974790435,0.0004975447067882711,0.0057061000060297795,0.0181,0.012397247724404502,0.24905507159393908
3481,1,1.2,0.28,0.0,2.1,3.686711577898575,5.704876049978338,3.782354398433177,-1.0540420700540967,4.093479122853088,1.6284981584518183,-0.17187154349475334,71.75067455081928,1362.6966449389379,0.0006531305653891863,0.0030495788770414367,0.0181,0.012184480896350507,1.0540420700540967
1602,1,1.17,0.28,0.0,2.1,3.585321425649529,4.673507631266612,4.091309808430505,0.3555288242091933,4.1582144389034665,1.492555152830298,-0.1867897122457899,80.49843321698253,1578.4619265726208,0.0005157655412783345,0.0034164143835080374,0.0181,0.011773046588607089,0.3555288242091933
17658,2,0.98,0.28,0.0,2.1,8.628983764072986,6.775671387111829,7.729886802681186,0.09121840151685912,4.163301713670608,1.3571343211505051,-0.09516333145931294,85.60301076406381,1638.1005466445056,0.00029191021447743813,0.0014514601396726778,0.0181,0.01453835413242351,0.09121840151685912
15484,2,1.05,0.28,0.0,2.1,6.293356154418591,6.059313564906246,5.701476462362781,-0.22676526694837426,4.153400284855397,1.4209973789293195,-0.1107155903291508,82.61941640877791,1581.3729859933167,0.0003417269223251175,0.002248439963008275,0.0181,0.014026941460966825,0.22676526694837426
4415,2,1.04,0.28,0.0,2.1,6.4271300125635715,5.902877730395817,5.9485837932703305,-0.11089987876156504,4.1709537417768905,1.386002073425445,-0.11067894800859296,85.30776542203962,1648.118787190679,0.00036659011737003646,0.0024844024549819377,0.0181,0.014028124992856472,0.11089987876156504
17724,1,0.87,0.28,0.0,2.1,4.011153013266626,1.7836572381788567,12.671148526688686,0.18704335557266477,4.541993734554636,0.8273846048952442,-0.04061625208479895,167.79590512167994,4037.132528879957,0.00019922097286970058,0.0027141797541714863,0.0181,0.016483989255921254,0.18704335557266477
1777,1,0.82,0.28,0.0,2.1,8.36154082552634,2.660728368252224,16.034095100136632,0.07265499118623958,4.51817942178158,0.8255851869060938,-0.07123887147312948,163.76457961866942,3865.107711633793,0.0003163919259816727,0.0034796961193697684,0.0181,0.015361714994523216,0.07265499118623958
2757,2,1.08,0.28,0.0,2.1,6.12830065264575,7.021984080747233,5.021366061182642,-3.1660951295994084,4.066926619938048,1.5915015275125737,-0.0887801231356316,70.93660890916017,1296.3421223504554,0.0008562335011918107,0.003652442410310597,0.0181,0.014753615187109295,3.1660951295994084
7348,1,1.13,0.28,0.0,2.1,3.6012742934792894,3.8965102092497275,4.562857433789538,0.6099125146019406,4.221079918325706,1.3644070013357987,-0.17503676040106306,90.40747560167593,1822.3821901738088,0.00042224824140857815,0.0037212686214453394,0.0181,0.012096001011336255,0.6099125146019406
781,1,1.08,0.28,0.0,2.1,4.546746830964347,4.246300599979219,5.021366061182642,-5.930935836768691,4.2354372056500695,1.3118554523186972,-0.13798690884849166,93.98766745392234,1894.6806496157806,0.0005252650895614945,0.00611220277079827,0.0181,0.01317321154270632,5.930935836768691
6539,1,0.82,0.28,0.0,2.1,3.5338498555103857,1.5122325468045599,16.034095100136632,-0.3776281403478181,4.584461041384138,0.7649289224896263,-0.030909904664782058,183.27490262102702,4553.51570940991,0.00021196842978152944,0.002668766850884824,0.0181,0.016856549111060097,0.3776281403478181
